Image ID,Bw180829-30,,,,,,,,,
,,,,,,,,,,
Image Path,C:/Users/lidat/Desktop/Whale_Images/180829_A_F3_DSC09961.JPG,,,,,,,,,
,,,,,,,,,,
Focal Length,35,,,,,,,,,
,,,,,,,,,,
Altitude,56.39,,,,,,,,,
,,,,,,,,,,
Pixel Dimension,0.00391667,,,,,,,,,
,,,,,,,,,,
Notes,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Object,Length (m),Widths (%),,,,,,,,
,,,,,,,,,,
,,10.00% Width,20.00% Width,30.00% Width,40.00% Width,50.00% Width,60.00% Width,70.00% Width,80.00% Width,90.00% Width
,,,,,,,,,,
TL,20.12,2.11,2.72,2.59,2.43,2.21,1.89,1.33,0.89,0.46
,,,,,,,,,,
Fluke,5.4,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Object,Angle,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Object,Area (m²),,,,,,,,,
