Image,Focal_Length,Pixel_Dimension,Altitude,,,,,,,,,,,,,,,
170809_A_F3_DSC01152.JPG,50,0.00391667,74.94,,,,,,,,,,,,,,,
170809_A_F3_DSC01185.JPG,50,0.00391667,73.16,,,,,,,,,,,,,,,
170809_A_F3_DSC01243.JPG,50,0.00391667,59.22,,,,,,,,,,,,,,,
170816_A_F2_DSC04215.JPG,50,0.00391667,85.72,,,,,,,,,,,,,,,
170816_A_F2_DSC04232.JPG,50,0.00391667,85.85,,,,,,,,,,,,,,,
170816_A_F2_DSC04263.JPG,50,0.00391667,85.75,,,,,,,,,,,,,,,
180829_A_F3_DSC09961.JPG,35,0.00391667,56.39,,,,,,,,,,,,,,,
180829_A_F3_DSC09969.JPG,35,0.00391667,56.96,,,,,,,,,,,,,,,
190302_A_F2_DSC07001.JPG,35,0.00391667,34.32,,,,,,,,,,,,,,,
190302_A_F2_DSC07059.JPG,35,0.00391667,36.82,,,,,,,,,,,,,,,
