Image ID,Bb190302_A_F2-01,,,,,,,,,
,,,,,,,,,,
Image Path,C:/Users/lidat/Desktop/Whale_Images/190302_A_F2_DSC07059.JPG,,,,,,,,,
,,,,,,,,,,
Focal Length,35,,,,,,,,,
,,,,,,,,,,
Altitude,36.82,,,,,,,,,
,,,,,,,,,,
Pixel Dimension,0.00391667,,,,,,,,,
,,,,,,,,,,
Notes,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Object,Length (m),Widths (%),,,,,,,,
,,,,,,,,,,
,,10.00% Width,20.00% Width,30.00% Width,40.00% Width,50.00% Width,60.00% Width,70.00% Width,80.00% Width,90.00% Width
,,,,,,,,,,
TL,7.82,0.67,1.08,1.12,1.19,1.13,0.99,0.77,0.43,0.2
,,,,,,,,,,
Fluke,2.33,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Object,Angle,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Object,Area (m²),,,,,,,,,
